Date,Source,Stage,Users,Revenue,Marketing Spend
2025-04-01,Organic,Visit,946,0.0,0.0
2025-04-01,Organic,View Product,829,0.0,0.0
2025-04-01,Organic,Add to Cart,331,0.0,0.0
2025-04-01,Organic,Initiate Checkout,351,0.0,0.0
2025-04-01,Organic,Purchase,215,11114.13,0.0
2025-04-01,Paid Ads,Visit,1186,0.0,606.19
2025-04-01,Paid Ads,View Product,873,0.0,0.0
2025-04-01,Paid Ads,Add to Cart,524,0.0,0.0
2025-04-01,Paid Ads,Initiate Checkout,238,0.0,0.0
2025-04-01,Paid Ads,Purchase,228,10574.73,0.0
2025-04-01,Email,Visit,628,0.0,0.0
2025-04-01,Email,View Product,402,0.0,0.0
2025-04-01,Email,Add to Cart,364,0.0,0.0
2025-04-01,Email,Initiate Checkout,198,0.0,0.0
2025-04-01,Email,Purchase,157,5474.86,0.0
2025-04-01,Social Media,Visit,935,0.0,444.59
2025-04-01,Social Media,View Product,688,0.0,0.0
2025-04-01,Social Media,Add to Cart,461,0.0,0.0
2025-04-01,Social Media,Initiate Checkout,318,0.0,0.0
2025-04-01,Social Media,Purchase,139,7797.85,0.0
2025-04-02,Organic,Visit,990,0.0,0.0
2025-04-02,Organic,View Product,719,0.0,0.0
2025-04-02,Organic,Add to Cart,528,0.0,0.0
2025-04-02,Organic,Initiate Checkout,383,0.0,0.0
2025-04-02,Organic,Purchase,296,10875.48,0.0
2025-04-02,Paid Ads,Visit,1801,0.0,202.39
2025-04-02,Paid Ads,View Product,1401,0.0,0.0
2025-04-02,Paid Ads,Add to Cart,1052,0.0,0.0
2025-04-02,Paid Ads,Initiate Checkout,609,0.0,0.0
2025-04-02,Paid Ads,Purchase,433,12276.63,0.0
2025-04-02,Email,Visit,539,0.0,0.0
2025-04-02,Email,View Product,344,0.0,0.0
2025-04-02,Email,Add to Cart,222,0.0,0.0
2025-04-02,Email,Initiate Checkout,166,0.0,0.0
2025-04-02,Email,Purchase,116,10965.42,0.0
