Date,Category,Subcategory,Amount (£),Payment Method,Notes
2025-01-01,Income,Salary,2868.54,Bank Transfer,Monthly Salary
2025-01-03,Expenses,Rent,-1337.17,Credit Card,Rent expense
2025-01-05,Expenses,Entertainment,-61.32,Credit Card,Entertainment expense
2025-01-07,Expenses,Subscriptions,-6.34,Credit Card,Subscriptions expense
2025-01-08,Expenses,Utilities,-164.52,Bank Transfer,Utilities expense
2025-01-09,Expenses,Entertainment,-50.78,Debit Card,Entertainment expense
2025-01-10,Income,Bonus,556.64,Debit Card,Bonus
2025-01-10,Expenses,Entertainment,-37.19,Bank Transfer,Entertainment expense
2025-01-11,Expenses,Entertainment,-25.93,Cash,Entertainment expense
2025-01-13,Expenses,Shopping,-202.42,Credit Card,Shopping expense
2025-01-15,Expenses,Utilities,-206.17,Bank Transfer,Utilities expense
2025-01-17,Expenses,Entertainment,-54.7,Debit Card,Entertainment expense
2025-01-18,Expenses,Groceries,-25.28,Cash,Groceries expense
2025-01-19,Expenses,Health,-106.48,Credit Card,Health expense
2025-01-20,Expenses,Rent,-1415.96,Credit Card,Rent expense
2025-01-21,Expenses,Transport,-97.46,Credit Card,Transport expense
2025-01-22,Expenses,Dining Out,-79.29,Bank Transfer,Dining Out expense
2025-01-26,Expenses,Transport,-29.5,Credit Card,Transport expense
2025-01-29,Expenses,Entertainment,-36.09,Debit Card,Entertainment expense
2025-01-30,Expenses,Health,-98.45,Cash,Health expense
2025-01-31,Expenses,Transport,-36.75,Debit Card,Transport expense
2025-02-01,Income,Salary,3358.49,Bank Transfer,Monthly Salary
2025-02-01,Expenses,Entertainment,-36.11,Bank Transfer,Entertainment expense
2025-02-02,Expenses,Health,-153.3,Bank Transfer,Health expense
2025-02-03,Expenses,Groceries,-75.17,Credit Card,Groceries expense
2025-02-04,Expenses,Dining Out,-58.86,Debit Card,Dining Out expense
2025-02-05,Expenses,Health,-128.83,Credit Card,Health expense
2025-02-06,Expenses,Entertainment,-53.76,Bank Transfer,Entertainment expense
2025-02-07,Expenses,Entertainment,-54.97,Debit Card,Entertainment expense
2025-02-08,Expenses,Dining Out,-48.02,Credit Card,Dining Out expense
2025-02-09,Expenses,Rent,-1255.05,Debit Card,Rent expense
2025-02-10,Expenses,Utilities,-240.25,Debit Card,Utilities expense
2025-02-11,Expenses,Health,-124.31,Cash,Health expense
2025-02-12,Expenses,Subscriptions,-16.66,Cash,Subscriptions expense
2025-02-13,Expenses,Transport,-27.95,Bank Transfer,Transport expense
2025-02-14,Expenses,Entertainment,-30.79,Cash,Entertainment expense
2025-02-15,Expenses,Transport,-51.77,Bank Transfer,Transport expense
2025-02-16,Expenses,Rent,-1057.95,Bank Transfer,Rent expense
2025-02-17,Expenses,Groceries,-34.82,Cash,Groceries expense
2025-02-19,Income,Bonus,555.62,Cash,Bonus
2025-02-20,Expenses,Entertainment,-27.9,Bank Transfer,Entertainment expense
2025-02-21,Expenses,Utilities,-164.33,Bank Transfer,Utilities expense
2025-02-22,Expenses,Dining Out,-27.94,Debit Card,Dining Out expense
2025-02-28,Expenses,Groceries,-31.44,Debit Card,Groceries expense
2025-03-01,Income,Salary,3046.48,Bank Transfer,Monthly Salary
2025-03-02,Expenses,Entertainment,-39.93,Debit Card,Entertainment expense
2025-03-03,Expenses,Entertainment,-44.49,Bank Transfer,Entertainment expense
2025-03-06,Expenses,Entertainment,-37.57,Cash,Entertainment expense
2025-03-09,Income,Gift,119.92,Bank Transfer,Gift
2025-03-09,Expenses,Utilities,-198.4,Debit Card,Utilities expense
2025-03-10,Expenses,Groceries,-88.08,Cash,Groceries expense
2025-03-12,Expenses,Health,-145.31,Bank Transfer,Health expense
2025-03-13,Expenses,Utilities,-248.13,Cash,Utilities expense
2025-03-15,Expenses,Entertainment,-23.1,Cash,Entertainment expense
2025-03-19,Expenses,Health,-152.58,Bank Transfer,Health expense
2025-03-22,Expenses,Shopping,-66.99,Cash,Shopping expense
2025-03-26,Expenses,Subscriptions,-22.49,Bank Transfer,Subscriptions expense
2025-03-27,Income,Gift,144.54,Bank Transfer,Gift
2025-03-27,Expenses,Health,-58.0,Debit Card,Health expense
2025-03-28,Expenses,Utilities,-124.23,Bank Transfer,Utilities expense
2025-03-30,Expenses,Groceries,-23.85,Debit Card,Groceries expense
